City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Smithers,CA,2022-08-26 23:15:15,54.7804,-127.1743,62.92,51,75,24.16
67,Cayenne,GF,2022-08-26 23:15:38,4.9333,-52.3333,77.04,88,0,0.0
68,Ibra,OM,2022-08-26 23:15:39,22.6906,58.5334,79.16,61,0,5.03
69,Aripuana,BR,2022-08-26 23:15:39,-9.1667,-60.6333,84.87,40,74,2.13
70,Sao Filipe,CV,2022-08-26 23:15:40,14.8961,-24.4956,78.76,82,89,5.75
71,Sunnyside,US,2022-08-26 23:15:40,46.3237,-120.0087,94.84,35,0,5.75
72,Haines Junction,CA,2022-08-26 23:15:40,60.7522,-137.5108,60.75,51,99,4.61
73,Bredasdorp,ZA,2022-08-26 23:15:41,-34.5322,20.0403,51.12,66,3,10.36
74,Caernarfon,GB,2022-08-26 23:15:41,53.1413,-4.2702,62.62,94,56,6.91
75,Sedalia,US,2022-08-26 23:12:20,38.7045,-93.2283,90.75,55,0,3.44
76,Ambilobe,MG,2022-08-26 23:15:42,-13.2,49.05,61.43,73,2,3.83
77,Bambous Virieux,MU,2022-08-26 23:15:42,-20.3428,57.7575,69.22,77,75,17.27
78,Klaksvik,FO,2022-08-26 23:15:43,62.2266,-6.589,50.92,85,100,9.78
79,Tuktoyaktuk,CA,2022-08-26 23:15:43,69.4541,-133.0374,64.4,68,75,9.22
80,Longyearbyen,SJ,2022-08-26 23:15:44,78.2186,15.6401,39.04,75,75,9.22
81,Oppdal,NO,2022-08-26 23:15:44,62.5943,9.6912,54.18,99,100,4.83
82,Yurimaguas,PE,2022-08-26 23:15:45,-5.9,-76.0833,86.45,42,40,3.11
83,Tongren,CN,2022-08-26 23:15:45,27.7172,109.1853,76.15,86,80,2.55
84,Ahipara,NZ,2022-08-26 23:15:45,-35.1667,173.1667,58.86,69,91,9.31
85,Hasaki,JP,2022-08-26 23:15:46,35.7333,140.8333,82.8,88,100,12.37
86,Sao Joao Da Barra,BR,2022-08-26 23:15:46,-21.6403,-41.0511,72.39,78,67,18.1
87,Andenes,NO,2022-08-26 23:15:47,69.3143,16.1194,55.38,82,100,6.91
88,Luderitz,NA,2022-08-26 23:15:47,-26.6481,15.1594,52.61,78,0,16.64
89,Olafsvik,IS,2022-08-26 23:15:47,64.8945,-23.7142,50.22,59,12,2.64
90,Labuhan,ID,2022-08-26 23:15:48,-6.8844,112.2051,75.45,83,100,9.62
91,Kodiak,US,2022-08-26 23:16:48,57.79,-152.4072,58.51,77,0,8.05
92,Cabedelo,BR,2022-08-26 23:16:49,-6.9811,-34.8339,75.87,83,61,15.08
93,Avarua,CK,2022-08-26 23:16:49,-21.2078,-159.775,77.05,73,12,18.41
94,Kavieng,PG,2022-08-26 23:16:49,-2.5744,150.7967,83.57,74,93,16.53
95,Vaini,TO,2022-08-26 23:16:51,-21.2,-175.2,80.76,83,40,9.22
96,Hudson Bay,CA,2022-08-26 23:16:51,52.85,-102.3842,82.92,31,38,8.39
97,Umm Kaddadah,SD,2022-08-26 23:16:52,13.6017,26.6876,83.41,54,21,8.34
98,Muyezerskiy,RU,2022-08-26 23:16:52,63.9333,31.65,52.72,66,84,2.86
99,Lazarev,RU,2022-08-26 23:16:53,52.225,141.5131,59.13,73,1,13.49
100,Saint-Philippe,RE,2022-08-26 23:16:53,-21.3585,55.7679,67.59,81,39,13.04
101,Bayanday,RU,2022-08-26 23:16:54,53.0661,105.5139,48.49,76,24,2.51
102,Coihaique,CL,2022-08-26 23:16:00,-45.5752,-72.0662,36.21,93,100,4.61
103,Tiznit,MA,2022-08-26 23:16:55,29.5833,-9.5,68.02,80,25,3.38
104,East London,ZA,2022-08-26 23:16:55,-33.0153,27.9116,62.01,82,19,8.55
105,Jamestown,US,2022-08-26 23:13:07,42.097,-79.2353,72.52,84,100,4.61
